Time [s],Valor real do potenciômetro
0.000073842,3.683
0.020073842,3.683
0.040073842,3.678
0.060073842,3.683
0.080073842,3.678
0.100073842,3.678
0.120073842,3.683
0.140073842,3.683
0.160073842,3.678
0.180073842,3.678
0.200073842,3.678
0.220073842,3.678
0.240073842,3.683
0.260073842,3.678
0.280073842,3.678
0.300073842,3.673
0.320073842,3.678
0.340073842,3.683
0.360073842,3.683
0.380073842,3.683
0.400073842,3.683
0.420073842,3.683
0.440073842,3.683
0.460073842,3.683
0.480073842,3.683
0.500073842,3.678
0.520073842,3.683
0.540073842,3.683
0.560073842,3.683
0.580073842,3.683
0.600073842,3.678
0.620073842,3.678
0.640073842,3.683
0.660073842,3.689
0.680073842,3.678
0.700073842,3.683
0.720073842,3.678
0.740073842,3.683
0.760073842,3.683
0.780073842,3.683
0.800073842,3.678
0.820073842,3.683
0.840073842,3.683
0.860073842,3.683
0.880073842,3.678
0.900073842,3.683
0.920073842,3.683
0.940073842,3.678
0.960073842,3.683
0.980073842,3.678
1.000073842,3.683
1.020073842,3.683
1.040073842,3.683
1.060073842,3.683
1.080073842,3.678
1.100073842,3.683
1.120073842,3.678
1.140073842,3.683
1.160073842,3.683
1.180073842,3.678
1.200073842,3.683
1.220073842,3.683
1.240073842,3.683
1.260073842,3.678
1.280073842,3.678
1.300073842,3.683
1.320073842,3.678
1.340073842,3.683
1.360073842,3.678
1.380073842,3.683
1.400073842,3.678
1.420073842,3.683
1.440073842,3.678
1.460073842,3.683
1.480073842,3.678
1.500073842,3.678
1.520073842,3.678
1.540073842,3.678
1.560073842,3.678
1.580073842,3.678
1.600073842,3.678
1.620073842,3.678
1.640073842,3.678
1.660073842,3.678
1.680073842,3.678
1.700073842,3.678
1.720073842,3.678
1.740073842,3.678
1.760073842,3.678
1.780073842,3.678
1.800073842,3.673
1.820073842,3.678
1.840073842,3.683
1.860073842,3.678
1.880073842,3.678
1.900073842,3.678
1.920073842,3.678
1.940073842,3.678
1.960073842,3.678
1.980073842,3.678
2.000073842,3.678
2.020073842,3.678
2.040073842,3.678
2.060073842,3.683
2.080073842,3.678
2.100073842,3.683
2.120073842,3.683
2.140073842,3.683
2.160073842,3.678
2.180073842,3.678
2.200073842,3.678
2.220073842,3.678
2.240073842,3.678
2.260073842,3.673
2.280073842,3.678
2.300073842,3.678
2.320073842,3.678
2.340073842,3.678
2.360073842,3.683
2.380073842,3.683
2.400073842,3.678
2.420073842,3.683
2.440073842,3.683
2.460073842,3.678
2.480073842,3.683
2.500073842,3.683
2.520073842,3.683
2.540073842,3.683
2.560073842,3.683
2.580073842,3.683
2.600073842,3.678
2.620073842,3.683
2.640073842,3.683
2.660073842,3.678
2.680073842,3.678
2.700073842,3.678
2.720073842,3.678
2.740073842,3.683
2.760073842,3.683
2.780073842,3.678
2.800073842,3.683
2.820073842,3.683
2.840073842,3.683
2.860073842,3.683
2.880073842,3.683
2.900073842,3.683
2.920073842,3.683
2.940073842,3.678
2.960073842,3.678
2.980073842,3.678
3.000073842,3.683
3.020073842,3.678
3.040073842,3.683
3.060073842,3.678
3.080073842,3.678
3.100073842,3.683
3.120073842,3.678
3.140073842,3.683
3.160073842,3.683
3.180073842,3.683
3.200073842,3.678
3.220073842,3.683
3.240073842,3.683
3.260073842,3.678
3.280073842,3.683
3.300073842,3.683
3.320073842,3.678
3.340073842,3.683
3.360073842,3.678
3.380073842,3.678
3.400073842,3.678
3.420073842,3.683
3.440073842,3.683
3.460073842,3.678
3.480073842,3.678
3.500073842,3.678
3.520073842,3.683
3.540073842,3.678
3.560073842,3.678
3.580073842,3.678
3.600073842,3.678
3.620073842,3.673
3.640073842,3.678
3.660073842,3.673
3.680073842,3.673
3.700073842,3.678
3.720073842,3.683
3.740073842,3.678
3.760073842,3.678
3.780073842,3.673
3.800073842,3.678
3.820073842,3.678
3.840073842,3.683
3.860073842,3.673
3.880073842,3.673
3.900073842,3.673
3.920073842,3.678
3.940073842,3.678
3.960073842,3.678
3.980073842,3.673
4.000073842,3.678
4.020073842,3.678
4.040073842,3.678
4.060073842,3.673
4.080073842,3.678
4.100073842,3.678
4.120073842,3.678
4.140073842,3.678
4.160073842,3.678
